 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,プロダクトバックログ,,チェックリストLink,,,,,,,,,,,,,,,,,,,,,,,
,P_ID,機能,ユーザーストーリー,優先度,受入条件,ステータス,備考,,,,,,,,,,,,,,,,,,,
,1,"DB設計
Thiết kế cơ sở dữ liệu","なし
Không có",1.0,"カフェ、ユーザー、レビュー、店舗管理に関するER図が作成されています。
データベースに以下の主要テーブルが含まれています（ユーザー、カフェ、レビュー、フェイバリット など）
各テーブルのリレーション（1対多、多対多など）が正しく定義されています。
マイグレーションが正常に実行できます。
基本的なCRUD操作（作成・取得・更新・削除）が正常に動作します
ERD cho hệ thống (User, Cafe, Review, Favorite…) được thiết kế hoàn chỉnh
Có đầy đủ các bảng chính: người dùng, quán, đánh giá, yêu thích…
Quan hệ giữa các bảng (1-n, n-n) được thiết lập đúng
Migration chạy thành công
Các chức năng CRUD cơ bản hoạt động bình thường",未対応,-,,,,,,,,,,,,,,,,,,,
,2,"開発環境整備
Thiết lập môi trường phát triển","なし
Không có",2.0,"フロントエンドおよびバックエンドのプロジェクトがローカル環境で正常に起動します。
データベースと接続できます。
開発に必要なライブラリ・パッケージがインストールされています。
環境変数（APIキー、DB接続情報など）が正しく設定されています。
チームメンバー全員が同じ手順で環境構築できるドキュメントが用意されています
Frontend và backend có thể chạy bình thường trên môi trường local
Kết nối được với database
Các thư viện cần thiết được cài đặt đầy đủ
Biến môi trường (API, DB config…) được thiết lập đúng
Có tài liệu hướng dẫn để tất cả thành viên setup giống nhau",未対応,-,,,,,,,,,,,,,,,,,,,
,3,"店舗一覧表示
Danh sách quán","私はゲストユーザーまたは登録ユーザーとして、自分に合う作業用カフェを一覧で確認したいです。なぜなら、複数の候補を比較し、最適な場所を効率的に見つけたいからです。
Tôi là khách vãng lai hoặc người dùng đã đăng ký, tôi muốn xem danh sách các quán phù hợp để làm việc, vì tôi muốn so sánh nhiều lựa chọn và tìm ra nơi phù hợp một cách nhanh chóng.",3.0,"カフェ一覧がカード形式で表示されます。
各カードに写真・店名・住所・平均評価・設備バッジが表示されます。
Danh sách quán được hiển thị dưới dạng thẻ (card)
Mỗi thẻ hiển thị ảnh, tên quán, địa chỉ, điểm đánh giá trung bình, vị trí và các tags (Wi-Fi, ổ cắm, yên tĩnh...)",未対応,-,,,,,,,,,,,,,,,,,,,
,4,"絞り込み検索
Lọc & tìm kiếm                   ","私はゲストユーザーまたは登録ユーザーとして、条件に合うカフェを絞り込みたいです。なぜなら、自分に合ったカフェを効率的に見つけたいからです。
Tôi là khách vãng lai hoặc người dùng đã đăng ký, tôi muốn lọc quán theo điều kiện, vì tôi muốn tìm quán phù hợp với mình một cách nhanh chóng.",4.0,"キーワードによる検索が可能である。
Wi-Fi環境、コンセントの有無、静かさ、長時間滞在の可否などの条件で絞り込みが可能である。
指定した条件に一致する店舗のみが一覧に表示される。
該当する店舗が存在しない場合、該当なしのメッセージが表示される。
Có thể tìm kiếm theo từ khóa.
Có thể lọc theo các tiêu chí như Wi-Fi, ổ cắm, độ yên tĩnh, khoảng cách,...
Chỉ hiển thị các quán phù hợp với điều kiện đã chọn.
Nếu không có kết quả, sẽ hiển thị thông báo không tìm thấy.",未対応,-,,,,,,,,,,,,,,,,,,,
,5,"店舗詳細表示
Chi tiết quán","私はゲストユーザーまたは登録ユーザーとして、カフェの詳細情報を確認したいです。なぜなら、自分の作業に適しているかどうかを判断したいからです。
Tôi là khách vãng lai hoặc người dùng đã đăng ký, tôi muốn xem thông tin chi tiết của quán, vì tôi muốn đánh giá xem quán đó có phù hợp để làm việc hay không",5.0,"店舗の詳細情報（Wi-Fi速度、コンセント数など）が表示されます。
レビュー一覧が表示されます。
Thông tin chi tiết (đánh giá, thời gian mở cửa, tags, địa chỉ, menu ...) được hiển thị
Danh sách đánh giá (review) được hiển thị",未対応,-,,,,,,,,,,,,,,,,,,,
,6,"多言語対応
Đa ngôn ngữ  ","私はゲストユーザーまたは登録ユーザーとして、自分の言語で情報を理解したいです。なぜなら、正確にカフェを選びたいからです。
Tôi là khách vãng lai, người dùng đã đăng ký hoặc chủ quán, tôi muốn hiểu thông tin bằng ngôn ngữ của mình, vì tôi muốn lựa chọn quán một cách chính xác",6.0,"日本語・ベトナム語の切替ができます。
表示内容が選択した言語に応じて変更されます。
Có thể chuyển đổi giữa tiếng Nhật, tiếng Việt.
Nội dung hiển thị thay đổi theo ngôn ngữ đã chọn",未対応,-,,,,,,,,,,,,,,,,,,,
,7,"ログイン
Đăng nhập","登録ユーザーまたは店舗オーナーとして、システムにログインしたいです。なぜなら、お気に入り登録やレビュー投稿、店舗管理などの機能を利用したいからです。
Tôi là người dùng đã đăng ký hoặc chủ quán, tôi muốn đăng nhập vào hệ thống để sử dụng dịch vụ",7.0,"ログイン画面のUIは画面ID.2の設計通りに表示されます。
正しい認証情報を入力した場合、ログインに成功します。
登録ユーザーの場合、画面ID.5（店舗一覧画面）へ遷移します。
店舗オーナーの場合、画面ID.8（店舗オーナー情報ページ）へ遷移します。
誤った認証情報を入力した場合、エラーメッセージが表示され、画面遷移は行われません
Giao diện đăng nhập hiển thị đúng theo thiết kế của màn hình ID.2
Khi nhập đúng thông tin xác thực, đăng nhập thành công
Nếu là người dùng đã đăng ký chuyển đến màn hình ID.5 (danh sách quán)
Nếu là chủ quán chuyển đến màn hình ID.8 (trang thông tin chủ quán)
Khi nhập sai thông tin, hiển thị thông báo lỗi và không chuyển trang",未対応,-,,,,,,,,,,,,,,,,,,,
,8,"サインアップ
Đăng ký","ゲストユーザーとして、お気に入りのカフェを保存したりレビューを書いたりするために、アカウントを作成したいです。
Là khách vãng lai, tôi muốn tạo tài khoản để có thể lưu các quán cà phê yêu thích, viết đánh giá.
店舗オーナーとして、自分のカフェの情報を登録するために、アカウントを作成したいです。
Là chủ quán, tôi muốn tạo tài khoản để đăng thông tin quán cà phê của mình.",8.0,"必要な情報を入力した場合、アカウントが作成されます。
メールアドレスまたは電話番号の認証が正常に完了します。
登録後、ログイン可能な状態になります。
Khi nhập đầy đủ thông tin, tài khoản được tạo thành công
Xác thực email hoặc số điện thoại hoàn tất
Sau khi đăng ký, có thể đăng nhập vào hệ thống",未対応,-,,,,,,,,,,,,,,,,,,,
,9,"店舗管理 
Quản lý quán","私は店舗オーナーとして、自分の店舗情報を管理したいです。なぜなら、ユーザーに正確な情報を提供したいからです。
Tôi là chủ quán, tôi muốn quản lý thông tin quán, vì tôi muốn cung cấp thông tin chính xác cho người dùng",9.0,"店舗情報の作成・編集・削除ができます。
変更内容が保存されます。
Có thể tạo mới, chỉnh sửa và xóa thông tin quán
Thông tin thay đổi được lưu thành công",未対応,-,,,,,,,,,,,,,,,,,,,
