,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◆ スプリントプランニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリント期間 (yyyymmdd),,,,46156.0,,,～,46161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール,,,,このスプリントで,,,"店舗詳細確認・多言語対応・ログイン/サインアップ機能の MVP リリース / Phát hành MVP chức năng xem chi tiết quán, hỗ trợ đa ngôn ngữ và đăng nhập/đăng ký người dùng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントバックログ,,,,チェックリストLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,対応P_ID,,ID,,タスク,,,,,,PIC,,見積もり(h),,"スプリント
ゴールとの関係",,進捗,,実績(h),,問題点,,,,原因,,,,対策,,,,問題点への対応状況,,,,,,,,
,5.0,,1.0,,"[FE] 店舗詳細画面のレイアウト実装
Code layout màn hình chi tiết quán",,,,,,Quốc Khánh,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,,2.0,,"[BE] 店舗詳細APIの実装
Code API lấy thông tin chi tiết quán",,,,,,Quang Phương,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,,3.0,,"[BE/FE] 店舗詳細データ連携
Kết nối dữ liệu API với màn hình chi tiết quán",,,,,,Hữu Nhân,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,,4.0,,"[FE] レビュー一覧表示の実装
Code hiển thị danh sách đánh giá của quán",,,,,,Ngọc Quý,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.0,,5.0,,"[FE] 多言語切替UIの実装
Code giao diện chuyển đổi Nhật / Việt",,,,,,Quốc Khánh,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.0,,6.0,,"[FE/BE] 多言語表示データの連携
Kết nối dữ liệu hiển thị theo ngôn ngữ đã chọn",,,,,,Quang Phương,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,,7.0,,"[FE] ログイン画面のレイアウト実装
Code layout màn hình đăng nhập",,,,,,Quang Vinh,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,,8.0,,"[BE] ログイン認証APIの実装
Code API xác thực đăng nhập",,,,,,Mạnh Tuấn,,3.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,,9,,"[BE/FE] ログイン成功時の画面遷移処理
Xử lý chuyển trang sau khi đăng nhập thành công",,,,,,Quang Phương,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,,10,,"[BE/FE] ログイン失敗時のエラー表示
Hiển thị thông báo lỗi khi đăng nhập sai",,,,,,Ngọc Quý,,1.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.0,,11.0,,"[FE] サインアップ画面のレイアウト実装
Code layout màn hình đăng ký tài khoản",,,,,,Quang Vinh,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.0,,12.0,,"[BE] サインアップAPIの実装
Code API tạo tài khoản mới",,,,,,Mạnh Tuấn,,3.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.0,,13,,"[QA] 店舗詳細・多言語・認証機能のテストTest chức năng chi tiết quán, đa ngôn ngữ, đăng nhập, đăng ký",,,,,,Quốc Khánh,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,,,
,POTは上記のスプリントゴールとスプリントバックログを承認します。,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◆ スプリントレビュー　※スプリントプランニングでは記入しないこと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントレビュー準備,,,,チェックリストLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,説明担当,,,,,,デモ担当,,,,,,書記,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール達成度,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール達成度の理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントレビュー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,,FB箇所,,CheckList No,,FB内容,,,,,,,,FBへの対応方針,,,対応する内容／対応しない理由,,,,,,,,対応方針承認,,,,,,,,,,,,,,,
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
,2.0,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
,3.0,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
,4.0,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
,5.0,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール達成度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール達成度の理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,次のスプリントで改善すること,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POTは上記の内容を妥当であると判断し、このスプリントレビューを承認します。,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
